"","Sesso","Anziano/a","Partner","Persone a carico","Durata del rapporto","Servizio telefonico","Linee multiple","Servizio Internet","Sicurezza online","Backup online","Protezione device","Assistenza tecnica","StreamingTV","StreamingMovies","Termine del contratto","Fatturazione elettronica","Metodo di pagamento","Addebito mensile","Addebito totale","Churn"
"4101","Uomo","No","Si","No",50,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno elettronico",19.8,1013.2,"No"
"4102","Uomo","No","No","No",6,"Si","No","DSL","Si","No","No","No","No","Si","mese per mese","Si","bonifico bancario (automatico)",59.15,336.7,"No"
"4103","Uomo","No","Si","Si",7,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno elettronico",44.75,333.65,"No"
"4104","Uomo","No","Si","Si",72,"Si","Si","fibra ottica","No","No","Si","No","No","Si","due anni","Si","carta di credito (automatico)",90.8,6511.8,"No"
"4105","Uomo","No","Si","No",8,"Si","No","DSL","No","Si","No","No","No","No","mese per mese","Si","bonifico bancario (automatico)",49.55,393.45,"No"
"4106","Donna","No","Si","Si",67,"Si","Si","fibra ottica","Si","No","No","Si","Si","Si","due anni","No","carta di credito (automatico)",106.7,7009.5,"No"
"4107","Donna","Si","Si","No",24,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",93.55,2264.05,"Si"
"4108","Donna","No","Si","No",72,"Si","Si","fibra ottica","Si","Si","No","No","No","Si","due anni","Si","carta di credito (automatico)",94.45,6921.7,"No"
"4109","Uomo","No","Si","Si",33,"Si","No","No","No","No","No","No","No","No","un anno","Si","bonifico bancario (automatico)",19.45,600.25,"No"
"4110","Uomo","No","No","No",2,"No","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",25.05,56.35,"Si"
"4111","Uomo","No","Si","No",70,"Si","No","DSL","Si","Si","No","Si","No","Si","due anni","No","assegno per posta",67.95,4664.15,"No"
"4112","Donna","No","No","No",22,"Si","No","DSL","No","Si","Si","No","Si","No","un anno","No","bonifico bancario (automatico)",65.25,1441.8,"No"
"4113","Donna","No","No","No",59,"Si","Si","fibra ottica","Si","Si","Si","No","No","Si","mese per mese","Si","bonifico bancario (automatico)",99.45,5623.7,"No"
"4114","Uomo","No","No","No",36,"Si","No","No","No","No","No","No","No","No","un anno","Si","carta di credito (automatico)",20.35,695.85,"No"
"4115","Donna","No","Si","Si",51,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",19.95,1028.75,"No"
"4116","Uomo","No","Si","No",53,"Si","Si","DSL","Si","No","Si","Si","Si","No","un anno","No","bonifico bancario (automatico)",77.4,4155.95,"No"
"4117","Donna","No","Si","Si",20,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",19.7,395.6,"No"
"4118","Uomo","No","Si","No",63,"Si","No","fibra ottica","Si","No","Si","No","Si","Si","due anni","No","carta di credito (automatico)",99.7,6330.4,"No"
"4119","Donna","No","No","No",40,"Si","No","fibra ottica","No","Si","No","No","No","No","mese per mese","No","carta di credito (automatico)",74.8,2971.7,"No"
"4120","Uomo","No","No","No",35,"Si","No","No","No","No","No","No","No","No","un anno","Si","assegno per posta",19.15,638,"No"
"4121","Uomo","No","Si","Si",26,"Si","No","fibra ottica","No","No","No","No","No","Si","un anno","No","bonifico bancario (automatico)",78.95,2034.25,"No"
"4122","Uomo","Si","Si","No",27,"Si","Si","fibra ottica","No","Si","Si","No","No","Si","mese per mese","Si","assegno elettronico",95.55,2510.2,"Si"
"4123","Uomo","No","No","Si",53,"Si","No","DSL","Si","Si","No","Si","No","No","un anno","No","carta di credito (automatico)",62.85,3419.5,"No"
"4124","Uomo","Si","Si","No",34,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",71.55,2427.35,"No"
"4125","Donna","Si","Si","No",19,"Si","Si","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",94.95,1760.25,"No"
"4126","Uomo","No","Si","No",43,"Si","No","fibra ottica","Si","Si","Si","No","No","No","mese per mese","Si","carta di credito (automatico)",86.1,3551.65,"No"
"4127","Uomo","No","Si","Si",6,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.55,122.9,"No"
"4128","Uomo","No","No","Si",56,"Si","Si","No","No","No","No","No","No","No","due anni","Si","assegno per posta",24.8,1424.2,"No"
"4129","Uomo","No","No","No",57,"No","No","DSL","No","Si","No","No","Si","No","mese per mese","Si","assegno elettronico",39.3,2111.45,"Si"
"4130","Uomo","No","Si","Si",34,"Si","No","fibra ottica","No","No","Si","No","Si","No","mese per mese","Si","assegno per posta",84.05,2909.95,"No"
"4131","Donna","No","No","No",10,"No","No","DSL","No","Si","No","Si","No","No","mese per mese","No","assegno elettronico",36.25,374,"No"
"4132","Donna","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","Si","assegno per posta",20.25,20.25,"Si"
"4133","Donna","No","No","No",13,"No","No","DSL","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",23.9,300.8,"Si"
"4134","Uomo","No","No","No",56,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","mese per mese","No","assegno elettronico",98.6,5581.05,"No"
"4135","Donna","No","Si","No",55,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","carta di credito (automatico)",103.65,5676.65,"No"
"4136","Donna","No","Si","Si",36,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",92.9,3379.25,"No"
"4137","Uomo","No","Si","No",47,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",19.9,942.95,"No"
"4138","Donna","No","Si","Si",12,"Si","No","No","No","No","No","No","No","No","mese per mese","Si","carta di credito (automatico)",20.1,232.4,"No"
"4139","Donna","No","No","No",1,"Si","No","fibra ottica","No","No","Si","No","Si","No","mese per mese","Si","assegno elettronico",85.45,85.45,"Si"
"4140","Uomo","Si","No","No",24,"Si","Si","fibra ottica","No","Si","No","No","No","No","mese per mese","Si","assegno elettronico",80.5,2088.45,"No"
"4141","Donna","No","No","No",63,"Si","Si","fibra ottica","No","Si","No","No","Si","Si","un anno","No","bonifico bancario (automatico)",99.9,6137,"Si"
"4142","Donna","Si","No","No",35,"No","No","DSL","No","No","Si","No","Si","No","mese per mese","Si","assegno elettronico",39.85,1434.6,"No"
"4143","Donna","No","No","No",67,"Si","No","DSL","Si","Si","No","Si","No","No","un anno","No","carta di credito (automatico)",60.5,3870,"No"
"4144","Uomo","No","No","No",25,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",84.8,2043.45,"Si"
"4145","Uomo","No","No","No",21,"Si","Si","fibra ottica","Si","No","Si","No","Si","Si","mese per mese","No","assegno per posta",103.85,2215,"No"
"4146","Donna","No","No","No",13,"Si","No","DSL","Si","Si","No","Si","No","Si","mese per mese","No","bonifico bancario (automatico)",67.8,842.25,"No"
"4147","Uomo","No","Si","No",35,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",75.2,2576.2,"Si"
"4148","Uomo","Si","Si","No",71,"Si","Si","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",24.85,1901,"No"
"4149","Donna","No","No","No",29,"Si","No","No","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",19.35,601.6,"No"
"4150","Uomo","No","Si","No",71,"No","No","DSL","No","Si","No","No","Si","Si","due anni","No","assegno elettronico",49.35,3515.25,"Si"
"4151","Uomo","Si","Si","No",7,"Si","No","fibra ottica","No","No","No","No","Si","Si","mese per mese","Si","assegno elettronico",89,605.45,"No"
"4152","Donna","Si","No","No",57,"No","No","DSL","No","Si","Si","No","Si","Si","mese per mese","Si","assegno elettronico",55,3094.05,"No"
"4153","Uomo","No","Si","No",65,"Si","Si","DSL","Si","No","Si","Si","No","Si","due anni","No","bonifico bancario (automatico)",76.15,4929.55,"No"
"4154","Uomo","No","No","No",27,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.3,595.05,"No"
"4155","Uomo","No","No","No",6,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",74.9,469.8,"Si"
"4156","Donna","Si","No","No",72,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",117.35,8436.25,"No"
"4157","Uomo","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","Si","assegno per posta",19.75,19.75,"No"
"4158","Uomo","No","No","No",11,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",45.2,492,"No"
"4159","Uomo","No","Si","Si",39,"Si","Si","No","No","No","No","No","No","No","due anni","No","assegno per posta",25.2,987.95,"No"
"4160","Donna","Si","No","No",59,"Si","Si","fibra ottica","Si","Si","Si","No","No","No","mese per mese","Si","assegno elettronico",89.75,5496.9,"No"
"4161","Uomo","No","No","No",26,"Si","No","DSL","Si","No","No","Si","Si","Si","un anno","No","bonifico bancario (automatico)",75,1908.35,"No"
"4162","Uomo","Si","No","No",2,"Si","No","DSL","No","No","Si","No","No","No","mese per mese","No","assegno per posta",49.95,107.1,"No"
"4163","Donna","No","Si","Si",72,"No","No","DSL","Si","Si","Si","Si","Si","Si","due anni","No","bonifico bancario (automatico)",65.7,4575.35,"No"
"4164","Uomo","No","Si","No",65,"Si","Si","DSL","Si","Si","Si","No","No","No","un anno","No","carta di credito (automatico)",67.05,4309.55,"No"
"4165","Uomo","No","Si","Si",72,"Si","Si","fibra ottica","No","Si","Si","Si","Si","Si","due anni","No","carta di credito (automatico)",110.9,7922.75,"No"
"4166","Uomo","No","No","No",6,"Si","Si","fibra ottica","No","No","No","Si","No","Si","mese per mese","Si","bonifico bancario (automatico)",87.95,522.35,"No"
"4167","Uomo","Si","No","No",32,"Si","No","No","No","No","No","No","No","No","un anno","No","carta di credito (automatico)",19.8,587.7,"No"
"4168","Donna","No","Si","No",50,"Si","Si","DSL","No","No","Si","No","Si","Si","un anno","No","bonifico bancario (automatico)",75.7,3876.2,"No"
"4169","Uomo","No","Si","No",61,"No","No","DSL","Si","No","Si","Si","Si","Si","due anni","Si","assegno per posta",62.15,3778.85,"No"
"4170","Donna","No","No","No",15,"Si","No","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","assegno elettronico",101.25,1457.25,"Si"
"4171","Uomo","No","Si","No",72,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","No","bonifico bancario (automatico)",115.15,8349.45,"No"
"4172","Uomo","No","No","No",9,"Si","No","No","No","No","No","No","No","No","mese per mese","Si","assegno per posta",18.95,185.6,"Si"
"4173","Donna","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.5,19.5,"No"
"4174","Donna","No","No","No",12,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",86.55,1066.9,"No"
"4175","Donna","No","No","No",37,"No","No","DSL","No","No","No","Si","No","No","mese per mese","No","carta di credito (automatico)",28.6,973.55,"Si"
"4176","Uomo","No","Si","Si",61,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.4,1226.45,"No"
"4177","Uomo","No","Si","Si",18,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",19.8,342.3,"No"
"4178","Uomo","No","No","Si",21,"Si","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno per posta",45.65,985.05,"No"
"4179","Uomo","No","Si","Si",68,"No","No","DSL","Si","Si","Si","Si","No","Si","due anni","Si","assegno per posta",56.4,3948.45,"No"
"4180","Uomo","Si","No","No",12,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","carta di credito (automatico)",73.3,828.05,"No"
"4181","Donna","Si","No","No",2,"No","No","DSL","No","No","No","No","No","No","mese per mese","No","assegno elettronico",24.35,41.85,"Si"
"4182","Donna","No","Si","No",62,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","mese per mese","Si","assegno elettronico",101.35,6164.7,"No"
"4183","Donna","Si","No","No",29,"Si","Si","fibra ottica","No","No","No","Si","Si","Si","mese per mese","No","assegno elettronico",98.65,2862.75,"Si"
"4184","Uomo","No","No","Si",1,"No","No","DSL","No","Si","No","Si","No","No","mese per mese","No","assegno per posta",33.6,33.6,"No"
"4185","Uomo","Si","Si","No",5,"Si","Si","fibra ottica","No","No","Si","No","No","No","mese per mese","Si","bonifico bancario (automatico)",79.9,343.95,"Si"
"4186","Donna","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno elettronico",20.7,20.7,"No"
"4187","Uomo","No","No","Si",62,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","due anni","Si","assegno elettronico",104.05,6590.5,"No"
"4188","Donna","No","Si","Si",36,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",20.25,717.95,"No"
"4189","Donna","Si","No","No",28,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",103.3,2890.65,"Si"
"4190","Donna","No","Si","Si",69,"Si","Si","DSL","Si","Si","No","Si","Si","No","un anno","No","carta di credito (automatico)",73.7,4885.85,"No"
"4191","Donna","No","Si","No",11,"Si","Si","fibra ottica","Si","No","No","Si","Si","No","mese per mese","Si","carta di credito (automatico)",96.2,1222.05,"Si"
"4192","Donna","No","Si","No",63,"Si","Si","fibra ottica","No","Si","Si","Si","Si","Si","mese per mese","Si","assegno elettronico",108.75,6871.7,"No"
"4193","Uomo","No","No","No",23,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",20.15,405.6,"No"
"4194","Uomo","No","No","No",10,"Si","No","No","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",19.75,208.25,"No"
"4195","Donna","No","Si","No",71,"Si","Si","No","No","No","No","No","No","No","due anni","Si","carta di credito (automatico)",25.95,1801.9,"No"
"4196","Donna","Si","No","No",45,"Si","Si","DSL","Si","No","No","Si","No","Si","mese per mese","Si","assegno elettronico",70.05,3062.45,"No"
"4197","Donna","No","Si","Si",70,"Si","Si","No","No","No","No","No","No","No","due anni","No","assegno per posta",24.05,1764.75,"No"
"4198","Donna","No","No","Si",22,"Si","Si","fibra ottica","No","No","No","No","No","Si","mese per mese","Si","assegno elettronico",84.75,1816.75,"No"
"4199","Donna","No","Si","Si",52,"Si","Si","No","No","No","No","No","No","No","due anni","No","assegno per posta",23.05,1255.1,"No"
"4200","Uomo","No","Si","No",55,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","un anno","Si","assegno elettronico",104.15,5743.05,"Si"
"4201","Donna","No","No","No",65,"No","No","DSL","Si","No","Si","Si","Si","Si","due anni","No","carta di credito (automatico)",59.95,3921.1,"No"
"4202","Donna","No","Si","Si",72,"Si","No","No","No","No","No","No","No","No","due anni","No","bonifico bancario (automatico)",19.55,1463.45,"No"
"4203","Uomo","No","Si","No",10,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",19.6,189.45,"No"
"4204","Donna","No","No","Si",7,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",20.05,96.8,"No"
"4205","Uomo","Si","No","No",5,"Si","No","fibra ottica","No","Si","No","No","No","Si","mese per mese","Si","assegno elettronico",85.55,408.5,"No"
"4206","Donna","No","Si","Si",24,"Si","Si","DSL","Si","No","Si","No","Si","Si","due anni","No","carta di credito (automatico)",78.6,1846.65,"No"
"4207","Donna","No","Si","Si",72,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",116.8,8456.75,"No"
"4208","Uomo","No","No","No",21,"No","No","DSL","Si","No","No","Si","Si","No","mese per mese","Si","assegno per posta",43.55,1011.5,"No"
"4209","Uomo","No","Si","No",69,"No","No","DSL","No","Si","Si","Si","Si","Si","un anno","Si","carta di credito (automatico)",60.8,4263.4,"No"
"4210","Uomo","No","Si","Si",44,"Si","No","DSL","No","Si","No","Si","No","No","mese per mese","Si","bonifico bancario (automatico)",54.9,2549.1,"No"
"4211","Donna","Si","Si","Si",61,"Si","Si","DSL","No","No","Si","No","Si","No","un anno","Si","assegno elettronico",65.2,3965.05,"No"
"4212","Uomo","Si","No","No",24,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","carta di credito (automatico)",102.95,2496.7,"Si"
"4213","Donna","No","No","No",1,"Si","No","fibra ottica","No","No","No","No","Si","Si","mese per mese","No","assegno elettronico",90.6,90.6,"Si"
"4214","Donna","No","No","No",6,"Si","No","DSL","No","No","No","Si","No","No","mese per mese","Si","bonifico bancario (automatico)",50.8,288.05,"Si"
"4215","Uomo","No","No","No",4,"Si","Si","fibra ottica","No","Si","No","No","No","Si","mese per mese","Si","assegno elettronico",90.05,368.1,"Si"
"4216","Uomo","No","Si","No",72,"Si","Si","fibra ottica","No","Si","Si","Si","Si","Si","due anni","Si","assegno elettronico",108.2,7840.6,"No"
"4217","Uomo","No","No","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","No","bonifico bancario (automatico)",92,6632.75,"No"
"4218","Uomo","Si","Si","No",14,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",75.1,1013.35,"No"
"4219","Uomo","No","No","No",7,"Si","Si","No","No","No","No","No","No","No","mese per mese","Si","bonifico bancario (automatico)",25.05,152.95,"No"
"4220","Donna","No","No","No",48,"Si","No","fibra ottica","No","Si","No","No","No","No","un anno","No","assegno elettronico",75.15,3772.65,"No"
"4221","Uomo","No","Si","Si",55,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",19.5,1026.35,"No"
"4222","Uomo","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",19.3,19.3,"No"
"4223","Uomo","No","No","No",45,"Si","No","fibra ottica","Si","Si","Si","Si","Si","Si","un anno","No","carta di credito (automatico)",112.2,5031.85,"No"
"4224","Uomo","No","No","No",3,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno per posta",70.3,220.4,"No"
"4225","Donna","No","Si","No",71,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",19.6,1416.5,"No"
"4226","Uomo","No","Si","No",8,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",20.25,158.35,"No"
"4227","Donna","No","Si","No",3,"Si","Si","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",75.85,256.6,"Si"
"4228","Uomo","No","Si","Si",69,"Si","No","DSL","Si","Si","No","Si","Si","Si","due anni","No","bonifico bancario (automatico)",80.65,5542.55,"No"
"4229","Uomo","No","Si","Si",1,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",68.5,68.5,"Si"
"4230","Donna","Si","Si","No",72,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",115.75,8443.7,"No"
"4231","Uomo","No","No","No",11,"Si","No","fibra ottica","Si","No","No","No","No","No","mese per mese","Si","assegno elettronico",73.5,791.75,"Si"
"4232","Uomo","No","No","No",71,"Si","Si","DSL","Si","Si","Si","Si","No","Si","due anni","No","bonifico bancario (automatico)",80.6,5708.2,"No"
"4233","Donna","No","No","No",1,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno per posta",69.95,69.95,"Si"
"4234","Donna","No","Si","No",33,"No","No","DSL","Si","No","Si","Si","Si","Si","due anni","No","bonifico bancario (automatico)",59.55,2016.3,"No"
"4235","Donna","No","No","No",16,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",19.05,326.65,"No"
"4236","Donna","Si","Si","No",56,"Si","Si","fibra ottica","Si","Si","Si","Si","No","No","un anno","No","assegno elettronico",95.65,5471.75,"No"
"4237","Donna","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","carta di credito (automatico)",19.95,19.95,"No"
"4238","Uomo","No","No","No",5,"Si","No","DSL","No","No","Si","No","Si","Si","mese per mese","Si","assegno elettronico",70.05,346.4,"Si"
"4239","Uomo","No","Si","Si",57,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",19.4,1061.6,"No"
"4240","Uomo","No","Si","Si",56,"No","No","DSL","No","Si","Si","No","No","No","un anno","Si","carta di credito (automatico)",36.1,1971.5,"No"
"4241","Uomo","No","No","No",8,"Si","Si","fibra ottica","No","Si","Si","No","Si","No","mese per mese","Si","assegno elettronico",94,773.65,"Si"
"4242","Donna","No","Si","Si",22,"Si","No","DSL","Si","Si","Si","No","No","No","mese per mese","No","assegno per posta",61.15,1422.05,"Si"
"4243","Donna","No","No","No",1,"Si","No","No","No","No","No","No","No","No","mese per mese","No","assegno per posta",19.75,19.75,"No"
"4244","Donna","No","No","Si",40,"Si","No","DSL","Si","No","No","Si","Si","No","mese per mese","Si","carta di credito (automatico)",64.1,2460.35,"No"
"4245","Uomo","No","Si","Si",46,"Si","No","No","No","No","No","No","No","No","due anni","No","carta di credito (automatico)",19.75,856.5,"No"
"4246","Uomo","No","Si","Si",63,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",19.7,1275.85,"No"
"4247","Uomo","No","Si","Si",68,"Si","Si","fibra ottica","Si","Si","Si","No","Si","Si","due anni","Si","assegno elettronico",110.2,7467.5,"No"
"4248","Uomo","No","Si","Si",69,"Si","No","fibra ottica","Si","Si","No","Si","Si","Si","due anni","Si","carta di credito (automatico)",106.35,7261.75,"No"
"4249","Donna","No","Si","No",56,"Si","Si","fibra ottica","No","Si","Si","Si","No","No","mese per mese","No","assegno elettronico",90.55,5116.6,"No"
"4250","Donna","No","Si","Si",10,"Si","No","DSL","No","Si","Si","No","No","Si","un anno","Si","assegno per posta",65.9,660.05,"No"
"4251","Uomo","No","No","No",63,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","No","un anno","No","carta di credito (automatico)",104.5,6590.8,"No"
"4252","Donna","No","Si","Si",24,"No","No","DSL","Si","Si","Si","Si","No","Si","due anni","Si","assegno per posta",52.5,1208.15,"No"
"4253","Donna","No","No","No",19,"Si","Si","DSL","No","No","Si","No","No","No","mese per mese","Si","assegno per posta",56.1,1033.9,"No"
"4254","Uomo","No","Si","Si",22,"Si","Si","fibra ottica","No","No","Si","No","Si","No","mese per mese","Si","assegno elettronico",88.75,1885.15,"No"
"4255","Uomo","No","Si","No",29,"Si","Si","fibra ottica","Si","Si","No","No","No","No","mese per mese","Si","assegno elettronico",84.45,2467.1,"Si"
"4256","Uomo","No","Si","No",13,"Si","Si","DSL","No","No","Si","No","Si","Si","un anno","Si","assegno per posta",75.3,989.45,"Si"
"4257","Donna","No","Si","No",70,"Si","Si","No","No","No","No","No","No","No","due anni","Si","bonifico bancario (automatico)",26,2006.95,"No"
"4258","Donna","No","Si","No",49,"Si","No","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","No","assegno elettronico",99.4,5025,"No"
"4259","Donna","Si","Si","No",43,"Si","Si","fibra ottica","Si","No","Si","Si","Si","Si","un anno","Si","assegno per posta",109.55,4830.25,"Si"
"4260","Donna","No","No","No",3,"Si","No","No","No","No","No","No","No","No","mese per mese","Si","assegno per posta",19.6,59.75,"Si"
"4261","Uomo","No","Si","Si",42,"Si","No","DSL","No","No","Si","Si","Si","Si","un anno","No","assegno elettronico",73.15,3088.25,"No"
"4262","Uomo","No","No","No",57,"Si","No","DSL","No","Si","No","Si","No","No","un anno","Si","assegno per posta",54.65,3134.7,"No"
"4263","Uomo","Si","No","No",2,"Si","No","DSL","Si","No","Si","No","Si","No","mese per mese","No","bonifico bancario (automatico)",66.4,94.55,"Si"
"4264","Donna","No","Si","No",72,"Si","Si","fibra ottica","Si","Si","Si","Si","Si","Si","due anni","Si","carta di credito (automatico)",115.55,8312.4,"No"
"4265","Donna","Si","No","No",46,"Si","Si","fibra ottica","No","Si","Si","No","Si","Si","mese per mese","Si","assegno elettronico",104.45,4863.85,"No"
"4266","Uomo","Si","Si","No",66,"Si","Si","fibra ottica","No","No","No","Si","Si","Si","mese per mese","Si","carta di credito (automatico)",100.05,6871.9,"Si"
"4267","Uomo","No","No","No",62,"Si","Si","fibra ottica","Si","Si","No","Si","No","Si","un anno","No","assegno elettronico",102,6529.25,"Si"
"4268","Donna","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","bonifico bancario (automatico)",91.15,6637.9,"No"
"4269","Uomo","No","Si","Si",35,"Si","No","fibra ottica","No","Si","No","Si","Si","No","un anno","Si","assegno elettronico",89.7,3165.6,"No"
"4270","Uomo","No","Si","No",17,"Si","Si","fibra ottica","Si","Si","Si","No","No","No","mese per mese","No","carta di credito (automatico)",90.2,1454.15,"Si"
"4271","Donna","No","Si","No",72,"Si","Si","DSL","Si","Si","Si","Si","Si","Si","due anni","Si","assegno elettronico",92.4,6786.1,"No"
"4272","Donna","No","Si","Si",28,"Si","No","No","No","No","No","No","No","No","un anno","No","assegno per posta",19.9,543,"No"
"4273","Uomo","No","Si","No",56,"Si","Si","No","No","No","No","No","No","No","due anni","Si","carta di credito (automatico)",25.15,1327.15,"Si"
"4274","Donna","No","No","No",31,"Si","Si","fibra ottica","No","No","No","Si","No","No","mese per mese","Si","carta di credito (automatico)",79.85,2404.15,"Si"
"4275","Uomo","No","No","No",45,"Si","No","No","No","No","No","No","No","No","un anno","No","bonifico bancario (automatico)",18.85,867.3,"No"
"4276","Donna","No","No","No",1,"Si","Si","No","No","No","No","No","No","No","mese per mese","Si","assegno per posta",25.75,25.75,"No"
"4277","Donna","No","No","No",2,"Si","No","DSL","No","Si","No","No","No","No","mese per mese","Si","assegno per posta",49.6,114.7,"Si"
"4278","Donna","No","No","No",6,"Si","No","No","No","No","No","No","No","No","mese per mese","Si","assegno per posta",20.95,109.5,"No"
"4279","Donna","No","Si","No",48,"Si","No","fibra ottica","No","Si","Si","No","Si","Si","un anno","Si","assegno elettronico",97.05,4692.95,"No"
"4280","Uomo","No","Si","Si",25,"Si","Si","No","No","No","No","No","No","No","mese per mese","Si","bonifico bancario (automatico)",25.4,546.85,"No"
"4281","Uomo","No","Si","Si",64,"Si","No","No","No","No","No","No","No","No","due anni","Si","bonifico bancario (automatico)",19.7,1274.05,"No"
"4282","Uomo","No","No","No",50,"No","No","DSL","Si","Si","No","No","No","No","mese per mese","Si","assegno per posta",35,1782.4,"No"
"4283","Donna","No","Si","Si",52,"Si","Si","fibra ottica","No","No","Si","No","Si","Si","un anno","No","bonifico bancario (automatico)",101.25,5301.1,"No"
"4284","Uomo","Si","Si","No",4,"Si","No","fibra ottica","No","No","No","No","No","No","mese per mese","Si","assegno elettronico",70.2,280.35,"No"
"4285","Donna","Si","No","No",32,"Si","No","fibra ottica","No","No","No","No","Si","Si","mese per mese","No","assegno elettronico",90.95,2897.95,"No"
"4286","Uomo","No","Si","Si",45,"Si","Si","DSL","Si","Si","No","Si","Si","No","due anni","No","carta di credito (automatico)",73.85,3371,"No"
"4287","Uomo","No","Si","No",9,"Si","Si","fibra ottica","Si","No","No","No","No","Si","mese per mese","Si","assegno elettronico",88.05,801.3,"No"
"4288","Donna","Si","Si","No",66,"Si","Si","fibra ottica","No","No","Si","Si","Si","Si","un anno","Si","carta di credito (automatico)",105.95,6975.25,"Si"
"4289","Uomo","No","No","Si",3,"Si","Si","fibra ottica","No","No","Si","No","No","Si","mese per mese","No","assegno elettronico",91.85,257.05,"Si"
"4290","Donna","No","No","No",54,"Si","No","No","No","No","No","No","No","No","due anni","No","assegno per posta",20.1,1079.45,"No"
"4291","Donna","No","Si","Si",1,"No","No","DSL","No","No","No","Si","Si","No","mese per mese","No","assegno elettronico",40.1,40.1,"Si"
